date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-03-02,5569,4930,16,622,182,0,"{'创业板': 1394, '北交所': 298, '沪市主板': 1744, '深市主板': 1529, '科创板': 604}",2026-03/part-01_12trading_days/date=2026-03-02/daily_stock_status.parquet,126579,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-03,5569,4931,14,623,183,0,"{'创业板': 1394, '北交所': 298, '沪市主板': 1744, '深市主板': 1529, '科创板': 604}",2026-03/part-01_12trading_days/date=2026-03-03/daily_stock_status.parquet,126585,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-04,5569,4931,13,624,183,1,"{'创业板': 1394, '北交所': 298, '沪市主板': 1744, '深市主板': 1529, '科创板': 604}",2026-03/part-01_12trading_days/date=2026-03-04/daily_stock_status.parquet,126689,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-05,5569,4858,12,699,183,1,"{'创业板': 1394, '北交所': 298, '沪市主板': 1744, '深市主板': 1529, '科创板': 604}",2026-03/part-01_12trading_days/date=2026-03-05/daily_stock_status.parquet,126719,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-06,5570,4859,12,699,183,1,"{'创业板': 1395, '北交所': 298, '沪市主板': 1744, '深市主板': 1529, '科创板': 604}",2026-03/part-01_12trading_days/date=2026-03-06/daily_stock_status.parquet,126761,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-09,5572,4861,9,701,183,2,"{'创业板': 1395, '北交所': 299, '沪市主板': 1744, '深市主板': 1529, '科创板': 605}",2026-03/part-01_12trading_days/date=2026-03-09/daily_stock_status.parquet,126826,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-10,5572,4860,11,701,183,1,"{'创业板': 1395, '北交所': 299, '沪市主板': 1744, '深市主板': 1529, '科创板': 605}",2026-03/part-01_12trading_days/date=2026-03-10/daily_stock_status.parquet,126849,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-11,5573,4862,8,702,183,1,"{'创业板': 1395, '北交所': 300, '沪市主板': 1744, '深市主板': 1529, '科创板': 605}",2026-03/part-01_12trading_days/date=2026-03-11/daily_stock_status.parquet,126820,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-12,5573,4862,8,703,183,1,"{'创业板': 1395, '北交所': 300, '沪市主板': 1744, '深市主板': 1529, '科创板': 605}",2026-03/part-01_12trading_days/date=2026-03-12/daily_stock_status.parquet,126837,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-13,5576,4862,9,705,183,0,"{'创业板': 1396, '北交所': 300, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-01_12trading_days/date=2026-03-13/daily_stock_status.parquet,126772,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
